GEO_ID,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino,County,State
0500000US01001,37367.0,2.5,9.0,33.6,20.0,8.4,16.1,43953,24522,58731,29819,3.7,37.8,16.8,22.0,7.8,15.6,74.2,20.3,5.4,0.1,15.2,23.2,154500.0,1209.0,986.0,55380,76.8,19.0,0.3,1.0,0.0,2.8,Autauga County,Alabama
0500000US01003,151112.0,2.3,6.9,27.7,21.8,9.4,21.0,172297,95091,58320,32626,4.3,37.1,17.8,23.8,9.3,12.0,79.7,13.4,6.8,0.1,10.4,13.4,197900.0,1372.0,1020.0,212830,86.2,9.3,0.8,0.9,0.0,4.6,Baldwin County,Alabama
0500000US01005,17964.0,8.5,18.3,35.6,18.8,7.2,7.6,20636,8413,32525,18473,9.2,26.9,15.4,19.1,14.1,24.6,74.6,19.2,6.0,0.2,30.7,50.1,90700.0,956.0,576.0,25361,46.8,47.6,0.3,0.5,0.0,4.4,Barbour County,Alabama
0500000US01007,16168.0,6.5,14.5,44.9,16.4,7.4,6.5,18492,8387,47542,20778,7.3,20.4,15.8,21.1,16.8,26.0,79.8,14.9,5.1,0.1,18.1,29.5,92800.0,1119.0,734.0,22493,76.8,22.3,0.1,0.1,0.0,2.6,Bibb County,Alabama
0500000US01009,39791.0,8.5,11.0,33.4,21.4,12.5,8.6,45907,21917,49358,24747,3.4,30.2,13.1,20.2,16.2,20.3,82.2,12.8,4.9,0.2,13.6,18.4,127800.0,1144.0,667.0,57681,95.5,1.6,0.1,0.4,0.0,9.3,Blount County,Alabama
0500000US01011,7101.0,5.3,20.0,40.3,17.9,4.5,7.4,8375,4319,37785,20877,3.9,20.5,17.3,16.8,12.5,32.9,73.8,22.3,3.9,0.0,28.9,53.6,70300.0,993.0,654.0,10248,21.9,74.8,0.0,0.5,0.0,2.6,Bullock County,Alabama
0500000US01013,13819.0,4.6,10.3,45.2,16.4,7.4,9.7,15853,7930,40688,21038,6.8,27.3,16.4,20.0,10.2,26.1,82.0,14.4,3.5,0.2,22.5,34.5,95900.0,995.0,620.0,19828,51.8,45.4,0.1,0.3,0.0,1.4,Butler County,Alabama
0500000US01015,79108.0,5.2,10.4,32.8,25.0,8.2,10.5,92886,47896,47255,25345,8.1,28.2,17.0,23.0,10.4,21.3,76.2,18.3,5.4,0.1,17.9,25.6,118000.0,1049.0,716.0,114618,73.7,20.8,0.3,0.9,0.0,3.8,Calhoun County,Alabama
0500000US01017,23789.0,6.2,12.2,36.7,22.3,9.3,9.5,27403,14877,42289,22729,3.9,22.9,15.8,19.1,10.5,31.7,81.8,14.1,4.1,0.1,17.3,25.5,97100.0,956.0,749.0,33660,57.7,39.6,0.3,1.1,0.0,2.4,Chambers County,Alabama
0500000US01019,18874.0,6.8,11.6,40.3,20.2,8.4,6.6,21390,9980,41919,24301,4.4,28.1,15.1,15.8,14.0,27.1,78.1,14.2,7.3,0.4,13.9,15.3,123400.0,1151.0,620.0,25903,92.9,4.6,1.1,0.2,0.0,1.6,Cherokee County,Alabama
0500000US01021,30046.0,5.8,12.4,44.4,16.8,7.9,8.1,34827,17526,47468,24658,6.4,22.2,13.6,23.3,19.0,21.9,83.0,11.6,5.4,0.1,19.1,22.7,107300.0,1045.0,726.0,44055,83.6,9.2,0.8,0.4,0.0,7.8,Chilton County,Alabama
0500000US01023,9329.0,5.3,13.3,37.7,20.8,11.0,7.7,10685,4173,35892,22308,7.9,26.4,15.0,21.0,16.0,21.6,78.2,17.9,3.7,0.2,23.3,38.9,74100.0,913.0,525.0,12925,56.8,42.6,0.1,0.1,0.0,0.4,Choctaw County,Alabama
