GEO_ID,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino,County,State
0500000US42061,32730.0,2.8,7.4,49.0,14.6,8.3,11.9,38023,18759,53597.0,26454,5.4,32.8,19.3,17.4,13.5,17.0,77.4,16.4,6.0,0.3,10.6,15.6,142800.0,1162.0,687.0,45145,91.3,5.5,0.2,0.6,0.0,2.0,Huntingdon County,Pennsylvania
0500000US42063,55680.0,3.2,6.0,41.5,15.0,9.2,14.2,71060,36594,49270.0,26608,7.2,30.9,20.2,21.1,11.6,16.2,78.7,15.1,6.0,0.2,15.2,19.1,124100.0,1150.0,698.0,84463,94.1,2.3,0.1,0.9,0.0,1.3,Indiana County,Pennsylvania
0500000US42065,31060.0,3.5,6.0,51.1,12.9,10.4,10.8,35349,19617,49604.0,26890,4.5,26.4,18.3,18.7,12.8,23.8,82.9,9.9,7.0,0.3,13.9,22.3,108800.0,983.0,691.0,43570,97.5,0.5,0.1,0.3,0.0,1.0,Jefferson County,Pennsylvania
0500000US42067,17351.0,5.7,11.2,48.7,12.2,7.0,10.0,19852,11491,53502.0,27221,2.8,26.7,12.9,20.3,15.9,24.3,82.5,10.8,6.5,0.2,9.4,14.8,154200.0,1139.0,683.0,24657,95.9,1.3,0.0,0.3,0.0,3.9,Juniata County,Pennsylvania
0500000US42069,148750.0,2.9,5.6,36.7,16.6,9.5,17.8,172624,98930,54064.0,30452,4.2,35.4,17.8,23.0,8.3,15.5,83.8,11.7,4.4,0.1,13.8,20.2,154700.0,1353.0,799.0,210162,89.2,2.8,0.1,3.0,0.1,8.0,Lackawanna County,Pennsylvania
0500000US42071,366898.0,6.8,7.6,34.8,14.6,7.7,18.4,428872,273736,69588.0,33568,3.6,35.7,15.6,20.6,10.5,17.6,85.1,7.7,7.0,0.2,9.1,12.3,218700.0,1556.0,1050.0,543050,87.6,4.1,0.1,2.3,0.0,10.8,Lancaster County,Pennsylvania
0500000US42073,61973.0,2.3,6.4,43.5,16.2,9.3,15.4,71274,39513,50080.0,28898,6.4,31.4,18.9,21.9,10.2,17.5,84.6,10.2,5.0,0.2,12.9,19.2,113200.0,1112.0,702.0,86148,92.4,3.6,0.1,0.4,0.0,1.5,Lawrence County,Pennsylvania
0500000US42075,96489.0,4.1,8.3,44.1,14.9,7.5,13.8,111811,67281,61632.0,30088,4.9,31.3,17.9,21.8,9.1,20.0,82.7,11.0,6.1,0.1,10.7,16.6,176000.0,1388.0,879.0,140410,85.6,2.5,0.1,1.5,0.0,13.6,Lebanon County,Pennsylvania
0500000US42077,250653.0,4.2,6.3,32.7,16.6,9.4,18.9,294163,178865,66214.0,34629,6.2,36.9,16.5,20.9,6.7,18.9,88.1,7.7,4.0,0.1,12.6,20.2,215400.0,1627.0,1105.0,367338,76.2,7.3,0.3,3.3,0.0,25.4,Lehigh County,Pennsylvania
0500000US42079,227214.0,3.1,6.7,38.7,17.2,10.7,14.6,262210,150945,53194.0,29732,6.0,32.2,17.4,22.2,7.8,20.3,83.8,11.8,4.2,0.1,14.6,25.9,129600.0,1242.0,772.0,317547,86.0,5.2,0.2,1.2,0.1,12.9,Luzerne County,Pennsylvania
0500000US42081,80480.0,2.4,7.1,37.7,17.4,11.9,15.6,93506,52692,54906.0,28465,5.1,32.3,19.0,21.9,9.2,17.6,82.8,11.8,4.6,0.9,13.6,21.2,161900.0,1250.0,797.0,114014,91.1,4.8,0.1,0.8,0.0,2.1,Lycoming County,Pennsylvania
