GEO_ID,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino,County,State
0500000US01001,40188.0,1.7,7.9,31.1,21.0,8.7,16.7,47146,26411,68315.0,35332,2.8,36.4,14.2,22.0,10.0,17.4,74.1,21.5,4.4,0.0,11.4,13.5,191800.0,1339.0,1199.0,58761,74.4,19.6,0.1,1.1,0.0,2.2,Autauga County,Alabama
0500000US01003,167022.0,2.0,6.4,27.8,21.7,9.6,20.0,189569,107254,71039.0,38907,3.4,35.6,17.1,24.2,9.9,13.1,78.5,13.3,8.1,0.1,10.2,13.0,266000.0,1511.0,1160.0,233420,84.0,8.3,0.4,0.9,0.0,3.7,Baldwin County,Alabama
0500000US01005,17675.0,7.3,16.2,36.8,19.9,7.9,6.6,20399,8452,39712.0,23378,5.8,27.7,20.2,19.5,12.5,20.1,72.1,21.3,6.3,0.4,24.2,36.8,102700.0,1134.0,627.0,24877,45.5,46.9,0.3,0.5,0.0,5.2,Barbour County,Alabama
0500000US01007,15925.0,6.4,14.7,40.9,19.1,8.0,6.6,18046,8242,50669.0,24966,8.7,22.2,15.3,20.6,16.4,25.5,83.7,10.9,5.4,0.0,20.6,35.8,120100.0,1174.0,765.0,22251,75.8,20.7,0.1,0.3,0.0,1.0,Bibb County,Alabama
0500000US01009,40817.0,7.1,11.1,35.3,20.7,11.0,9.4,47261,24856,57440.0,29053,6.0,26.8,13.0,22.7,15.8,21.7,81.0,11.0,7.7,0.3,14.2,17.0,159800.0,1264.0,734.0,59077,91.3,1.2,0.4,0.2,0.2,4.6,Blount County,Alabama
0500000US01011,7156.0,9.9,16.7,41.3,19.5,3.2,6.9,8376,3744,36136.0,22115,3.7,20.7,18.2,9.8,16.9,34.4,76.9,18.2,4.9,0.0,27.9,45.6,87700.0,1214.0,619.0,10328,23.2,68.9,0.0,0.4,0.0,6.8,Bullock County,Alabama
0500000US01013,13266.0,3.9,8.5,48.0,19.1,7.4,7.8,15203,7495,44429.0,26334,6.8,25.0,15.3,22.6,10.5,26.6,83.8,12.2,4.0,0.1,21.1,32.3,94800.0,1046.0,720.0,18981,51.5,44.6,0.4,1.3,0.0,1.1,Butler County,Alabama
0500000US01015,78931.0,4.4,10.5,34.6,23.2,8.1,11.5,94627,49455,54339.0,28227,6.9,29.8,18.2,21.0,9.9,21.1,76.7,18.3,4.9,0.1,18.0,23.2,140500.0,1143.0,806.0,116162,71.7,22.1,0.2,0.7,0.2,2.9,Calhoun County,Alabama
0500000US01017,24706.0,5.8,10.8,39.5,20.3,10.9,9.2,28036,15072,48805.0,27006,3.6,26.7,17.7,17.3,9.7,28.5,80.0,13.6,5.9,0.6,17.9,30.4,116900.0,1117.0,842.0,34612,56.7,40.8,0.1,0.2,0.0,1.0,Chambers County,Alabama
0500000US01019,18523.0,6.6,11.5,36.1,19.3,12.0,8.3,20956,10288,46621.0,28422,4.0,34.6,16.4,16.8,12.0,20.2,76.6,18.4,4.4,0.6,14.3,17.9,158700.0,1237.0,700.0,25069,91.3,4.0,0.5,0.1,0.0,1.4,Cherokee County,Alabama
