GEO_ID,NAME,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino
0500000US19021,"Buena Vista County, Iowa",13.4,8.9,29.5,19.5,9.1,13.7,5.9,15640.0,10523.0,54556.0,26607.0,5.3,27.1,15.4,16.0,9.1,32.4,80.7,10.5,8.5,0.3,13.0,20.9,112700.0,1059.0,685.0,20260,77.4,2.7,0.0,10.6,0.5,25.2
0500000US19023,"Butler County, Iowa",2.3,5.0,37.8,23.5,14.0,12.7,4.8,11688.0,7287.0,55999.0,29654.0,3.3,31.3,14.7,22.3,11.2,20.5,76.7,10.4,12.8,0.2,9.4,13.2,115800.0,1063.0,614.0,14735,97.6,0.6,0.2,0.6,0.1,1.3
0500000US19025,"Calhoun County, Iowa",2.2,3.7,36.4,24.9,13.2,12.9,6.6,7939.0,4416.0,50800.0,27908.0,2.2,34.6,17.9,19.6,13.0,14.9,70.8,16.0,13.1,0.1,13.3,16.4,80000.0,899.0,565.0,9780,95.7,1.2,0.7,0.3,0.0,1.9
0500000US19027,"Carroll County, Iowa",3.6,2.9,36.3,21.3,13.7,16.6,5.6,15870.0,10632.0,57674.0,30658.0,2.1,33.0,16.4,21.2,10.6,18.8,76.4,12.2,11.2,0.2,8.8,8.8,132700.0,1055.0,598.0,20344,99.1,0.2,0.0,0.1,0.0,0.7
0500000US19029,"Cass County, Iowa",3.6,8.2,37.9,20.9,9.8,13.9,5.7,10670.0,6455.0,48178.0,27853.0,2.4,29.2,17.2,22.0,13.2,18.5,76.4,13.0,10.0,0.6,11.6,14.2,97800.0,940.0,646.0,13191,97.1,0.3,0.4,0.5,0.2,2.5
0500000US19031,"Cedar County, Iowa",1.9,3.2,35.9,22.5,13.5,17.6,5.4,14731.0,9920.0,65791.0,32010.0,2.7,35.1,14.5,21.6,11.7,17.1,73.2,16.8,9.3,0.7,6.4,6.4,150700.0,1184.0,711.0,18445,97.2,0.7,0.2,0.3,0.0,1.9
0500000US19033,"Cerro Gordo County, Iowa",2.1,4.8,30.8,23.9,15.7,16.1,6.6,35271.0,21912.0,52902.0,31304.0,4.1,31.5,17.6,20.0,9.6,21.3,82.2,11.1,6.6,0.2,11.4,13.3,124400.0,1093.0,693.0,42984,94.2,1.7,0.5,1.1,0.0,4.7
0500000US19035,"Cherokee County, Iowa",1.4,6.0,35.9,22.0,13.2,15.1,6.3,9298.0,5930.0,54658.0,32667.0,2.3,28.3,15.6,20.8,14.0,21.4,74.3,16.7,8.7,0.3,9.7,11.8,95200.0,943.0,551.0,11468,94.8,2.3,0.4,0.7,0.0,1.3
0500000US19037,"Chickasaw County, Iowa",3.6,4.1,43.5,17.0,14.8,12.9,4.0,9639.0,6457.0,55385.0,29752.0,1.9,30.2,14.9,17.5,14.2,23.1,76.0,14.1,9.5,0.4,7.4,7.7,112000.0,1053.0,565.0,12099,98.0,0.5,0.3,0.4,0.0,2.4
0500000US19039,"Clarke County, Iowa",4.8,6.1,41.4,20.4,10.4,12.7,4.2,7216.0,4612.0,51571.0,26706.0,3.2,30.7,15.2,16.7,14.0,23.4,80.3,11.3,7.5,0.8,14.4,19.0,104700.0,1103.0,751.0,9282,97.2,0.1,0.2,0.2,0.0,13.2
0500000US19041,"Clay County, Iowa",2.5,4.0,34.1,24.5,12.2,17.2,5.3,13003.0,8262.0,47874.0,27811.0,3.6,34.6,13.9,21.8,10.0,19.7,79.0,12.0,8.5,0.4,12.1,17.8,120600.0,1077.0,666.0,16313,95.4,0.7,0.0,0.5,0.0,3.5
0500000US19043,"Clayton County, Iowa",3.4,5.4,43.6,20.2,10.2,13.2,3.9,14243.0,9181.0,52828.0,28486.0,2.1,28.1,15.4,18.6,12.1,25.7,75.1,11.5,12.5,0.8,9.0,10.9,121000.0,1110.0,658.0,17672,97.4,1.0,0.2,0.4,0.0,1.9
