GEO_ID,NAME,DP02_0059PE,DP02_0060PE,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP03_0001E,DP03_0004E,DP03_0062E,DP03_0088E,DP03_0009PE,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0047PE,DP03_0048PE,DP03_0049PE,DP03_0050PE,DP03_0128PE,DP03_0129PE,DP04_0089E,DP04_0101E,DP04_0134E,DP05_0001E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0052PE,DP05_0071PE
Geography,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Estimate!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent!!RACE!!Total population!!One race!!Asian,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0500000US01001,"Autauga County, Alabama",37367,2.5,9.0,33.6,20.0,8.4,16.1,43953,24522,58731,29819,3.7,37.8,16.8,22.0,7.8,15.6,74.2,20.3,5.4,0.1,15.2,23.2,154500,1209,986,55380,76.8,19.0,0.3,1.0,0.0,2.8
0500000US01003,"Baldwin County, Alabama",151112,2.3,6.9,27.7,21.8,9.4,21.0,172297,95091,58320,32626,4.3,37.1,17.8,23.8,9.3,12.0,79.7,13.4,6.8,0.1,10.4,13.4,197900,1372,1020,212830,86.2,9.3,0.8,0.9,0.0,4.6
0500000US01005,"Barbour County, Alabama",17964,8.5,18.3,35.6,18.8,7.2,7.6,20636,8413,32525,18473,9.2,26.9,15.4,19.1,14.1,24.6,74.6,19.2,6.0,0.2,30.7,50.1,90700,956,576,25361,46.8,47.6,0.3,0.5,0.0,4.4
0500000US01007,"Bibb County, Alabama",16168,6.5,14.5,44.9,16.4,7.4,6.5,18492,8387,47542,20778,7.3,20.4,15.8,21.1,16.8,26.0,79.8,14.9,5.1,0.1,18.1,29.5,92800,1119,734,22493,76.8,22.3,0.1,0.1,0.0,2.6
0500000US01009,"Blount County, Alabama",39791,8.5,11.0,33.4,21.4,12.5,8.6,45907,21917,49358,24747,3.4,30.2,13.1,20.2,16.2,20.3,82.2,12.8,4.9,0.2,13.6,18.4,127800,1144,667,57681,95.5,1.6,0.1,0.4,0.0,9.3
0500000US01011,"Bullock County, Alabama",7101,5.3,20.0,40.3,17.9,4.5,7.4,8375,4319,37785,20877,3.9,20.5,17.3,16.8,12.5,32.9,73.8,22.3,3.9,0.0,28.9,53.6,70300,993,654,10248,21.9,74.8,0.0,0.5,0.0,2.6
0500000US01013,"Butler County, Alabama",13819,4.6,10.3,45.2,16.4,7.4,9.7,15853,7930,40688,21038,6.8,27.3,16.4,20.0,10.2,26.1,82.0,14.4,3.5,0.2,22.5,34.5,95900,995,620,19828,51.8,45.4,0.1,0.3,0.0,1.4
0500000US01015,"Calhoun County, Alabama",79108,5.2,10.4,32.8,25.0,8.2,10.5,92886,47896,47255,25345,8.1,28.2,17.0,23.0,10.4,21.3,76.2,18.3,5.4,0.1,17.9,25.6,118000,1049,716,114618,73.7,20.8,0.3,0.9,0.0,3.8
0500000US01017,"Chambers County, Alabama",23789,6.2,12.2,36.7,22.3,9.3,9.5,27403,14877,42289,22729,3.9,22.9,15.8,19.1,10.5,31.7,81.8,14.1,4.1,0.1,17.3,25.5,97100,956,749,33660,57.7,39.6,0.3,1.1,0.0,2.4
