GEO_ID,NAME,DP02_0059PE,DP02_0060PE,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP03_0001E,DP03_0004E,DP03_0062E,DP03_0088E,DP03_0009PE,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0047PE,DP03_0048PE,DP03_0049PE,DP03_0050PE,DP03_0128PE,DP03_0129PE,DP04_0089E,DP04_0101E,DP04_0134E,DP05_0001E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0052PE,DP05_0071PE
Geography,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Estimate!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent!!RACE!!Total population!!One race!!Asian,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0500000US01001,"Autauga County, Alabama",39614,2.0,8.4,32.8,19.6,9.1,16.4,46577,25871,62660,30968,2.8,38.1,15.1,21.9,9.5,15.5,74.6,19.9,5.3,0.1,13.6,18.7,164900,1245,1085,58239,75.1,19.7,0.2,1.1,0.0,3.0
0500000US01003,"Baldwin County, Alabama",161977,2.1,6.9,27.4,21.7,9.5,20.6,183804,104367,64346,35384,3.7,36.1,17.8,23.6,9.5,13.0,78.5,13.6,7.8,0.1,9.2,11.3,226600,1391,1093,227131,84.5,8.8,0.6,1.0,0.0,4.7
0500000US01005,"Barbour County, Alabama",17995,7.4,16.9,36.7,20.5,7.3,6.7,20639,8561,36422,21325,8.6,25.6,20.7,19.9,12.2,21.6,74.4,21.2,4.1,0.3,26.5,43.7,89500,1023,605,25259,45.5,47.4,0.3,0.4,0.0,4.7
0500000US01007,"Bibb County, Alabama",16057,6.2,13.3,43.9,18.0,6.7,7.9,18333,8223,54277,24787,9.7,22.0,16.8,21.5,16.6,23.1,83.8,11.5,4.7,0.0,16.9,28.0,102900,1071,744,22412,75.9,22.3,0.1,0.2,0.0,2.8
0500000US01009,"Blount County, Alabama",40668,6.8,9.6,35.1,21.5,12.1,9.3,46871,24244,52830,27309,6.0,28.2,13.8,21.6,15.3,21.1,80.3,11.5,7.9,0.3,13.2,17.3,138100,1161,691,58884,92.5,1.3,0.3,0.4,0.1,9.5
0500000US01011,"Bullock County, Alabama",6877,6.4,16.0,41.3,19.2,5.4,8.1,8188,3818,29063,21012,3.0,19.9,16.7,10.7,14.9,37.8,79.1,17.0,3.9,0.0,30.9,49.7,72600,1257,473,10386,24.8,69.0,0.0,0.4,0.0,8.5
0500000US01013,"Butler County, Alabama",13384,3.8,10.6,45.2,18.7,7.6,8.1,15232,7567,45236,23897,6.5,26.6,15.3,21.8,12.1,24.2,81.3,14.3,4.3,0.1,18.2,29.6,93500,1011,666,19181,51.6,44.8,0.2,1.5,0.0,1.6
0500000US01015,"Calhoun County, Alabama",80263,4.3,10.5,34.6,23.2,7.9,11.4,94127,49073,50977,26440,7.0,30.1,18.1,21.8,9.6,20.3,75.8,18.8,5.2,0.1,17.5,21.6,123200,1089,752,116425,72.8,21.5,0.2,0.8,0.2,4.0
0500000US01017,"Chambers County, Alabama",24828,6.0,11.2,36.2,23.1,9.8,9.6,28363,15478,47232,24840,3.2,26.3,16.6,17.6,9.4,30.0,82.2,13.1,4.5,0.2,15.1,25.3,107000,1030,790,34834,56.9,40.1,0.2,1.0,0.0,2.7
