GEO_ID,NAME,DP02_0059PE,DP02_0060PE,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP03_0001E,DP03_0004E,DP03_0062E,DP03_0088E,DP03_0009PE,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0047PE,DP03_0048PE,DP03_0049PE,DP03_0050PE,DP03_0128PE,DP03_0129PE,DP04_0089E,DP04_0101E,DP04_0134E,DP05_0001E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0052PE,DP05_0071PE
Geography,Geographic Area Name,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Estimate!!SEX AND AGE!!Total population,Percent Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0500000US01001,"Autauga County, Alabama",2.6,8.7,32.6,20.3,8.1,15.9,11.8,43368,24124,58786,29372,4.2,38.7,15.9,22.1,8.2,15.0,73.2,21.0,5.6,0.1,15.4,22.7,147900,1176,966,55200,76.9,19.1,0.3,1.0,0.1,2.8
0500000US01003,"Baldwin County, Alabama",2.7,7.0,27.6,22.0,9.4,20.7,10.6,167712,93379,55962,31203,4.4,36.3,18.1,24.1,9.8,11.7,80.0,13.2,6.7,0.1,10.6,13.4,189800,1359,958,208107,86.3,9.5,0.7,0.8,0.0,4.5
0500000US01005,"Barbour County, Alabama",8.2,18.8,35.7,18.1,7.0,7.8,4.4,20948,8720,34186,18461,9.5,25.9,14.6,19.8,13.1,26.5,75.6,18.5,5.7,0.2,28.9,47.6,92900,950,590,25782,47.4,47.6,0.3,0.4,0.0,4.3
0500000US01007,"Bibb County, Alabama",5.7,11.1,47.3,18.6,5.8,7.6,3.9,18470,8099,45340,20199,7.5,21.9,18.7,18.9,17.4,23.0,77.8,16.0,5.5,0.7,14.0,20.2,96500,1093,714,22527,76.7,22.3,0.0,0.2,0.0,2.4
0500000US01009,"Blount County, Alabama",7.5,12.4,34.0,21.4,12.0,8.1,4.5,45915,21346,48695,22656,4.1,29.9,13.0,21.4,15.7,19.9,83.2,11.8,4.8,0.2,14.4,21.6,124700,1100,662,57645,95.5,1.5,0.2,0.3,0.0,9.1
0500000US01011,"Bullock County, Alabama",4.9,19.9,39.7,17.0,5.3,7.4,5.9,8413,3940,32152,20346,11.1,21.0,17.1,17.5,10.5,33.9,77.1,17.6,5.3,0.0,31.4,55.9,77500,1020,668,10352,22.0,76.2,1.2,0.5,0.0,0.5
0500000US01013,"Butler County, Alabama",4.2,11.2,43.9,16.9,7.7,9.7,6.4,15970,7885,39109,20430,6.7,26.9,16.0,19.2,11.6,26.2,81.3,14.5,4.1,0.1,23.5,35.0,88300,937,606,20025,52.0,45.2,0.0,1.2,0.0,0.3
0500000US01015,"Calhoun County, Alabama",5.1,10.9,32.4,25.9,7.8,10.2,7.8,93023,48157,45197,24706,8.8,28.2,16.9,23.2,10.5,21.3,75.7,18.6,5.5,0.2,18.6,26.2,113800,1045,680,115098,74.3,20.6,0.3,0.9,0.0,3.7
0500000US01017,"Chambers County, Alabama",5.7,12.9,38.4,21.2,8.6,9.3,3.9,27656,14786,39872,22827,5.0,24.6,16.0,19.5,10.0,30.0,82.4,13.3,4.1,0.1,16.6,23.7,88400,947,715,33826,57.6,39.4,0.3,1.2,0.0,2.3
