GEO_ID,NAME,DP02_0059PE,DP02_0060PE,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP03_0001E,DP03_0004E,DP03_0062E,DP03_0088E,DP03_0009PE,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0047PE,DP03_0048PE,DP03_0049PE,DP03_0050PE,DP03_0128PE,DP03_0129PE,DP04_0089E,DP04_0101E,DP04_0134E,DP05_0001E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0052PE,DP05_0071PE
Geography,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Estimate!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent!!RACE!!Total population!!One race!!Asian,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent!!Race alone or in combination with one or more other races!!Total population!!Some Other Race
0500000US01001,"Autauga County, Alabama",40188,1.7,7.9,31.1,21.0,8.7,16.7,47146,26411,68315,35332,2.8,36.4,14.2,22.0,10.0,17.4,74.1,21.5,4.4,0.0,11.4,13.5,191800,1339,1199,58761,74.4,19.6,0.1,1.1,0.0,2.2
0500000US01003,"Baldwin County, Alabama",167022,2.0,6.4,27.8,21.7,9.6,20.0,189569,107254,71039,38907,3.4,35.6,17.1,24.2,9.9,13.1,78.5,13.3,8.1,0.1,10.2,13.0,266000,1511,1160,233420,84.0,8.3,0.4,0.9,0.0,3.7
0500000US01005,"Barbour County, Alabama",17675,7.3,16.2,36.8,19.9,7.9,6.6,20399,8452,39712,23378,5.8,27.7,20.2,19.5,12.5,20.1,72.1,21.3,6.3,0.4,24.2,36.8,102700,1134,627,24877,45.5,46.9,0.3,0.5,0.0,5.2
0500000US01007,"Bibb County, Alabama",15925,6.4,14.7,40.9,19.1,8.0,6.6,18046,8242,50669,24966,8.7,22.2,15.3,20.6,16.4,25.5,83.7,10.9,5.4,0.0,20.6,35.8,120100,1174,765,22251,75.8,20.7,0.1,0.3,0.0,1.0
0500000US01009,"Blount County, Alabama",40817,7.1,11.1,35.3,20.7,11.0,9.4,47261,24856,57440,29053,6.0,26.8,13.0,22.7,15.8,21.7,81.0,11.0,7.7,0.3,14.2,17.0,159800,1264,734,59077,91.3,1.2,0.4,0.2,0.2,4.6
0500000US01011,"Bullock County, Alabama",7156,9.9,16.7,41.3,19.5,3.2,6.9,8376,3744,36136,22115,3.7,20.7,18.2,9.8,16.9,34.4,76.9,18.2,4.9,0.0,27.9,45.6,87700,1214,619,10328,23.2,68.9,0.0,0.4,0.0,6.8
0500000US01013,"Butler County, Alabama",13266,3.9,8.5,48.0,19.1,7.4,7.8,15203,7495,44429,26334,6.8,25.0,15.3,22.6,10.5,26.6,83.8,12.2,4.0,0.1,21.1,32.3,94800,1046,720,18981,51.5,44.6,0.4,1.3,0.0,1.1
0500000US01015,"Calhoun County, Alabama",78931,4.4,10.5,34.6,23.2,8.1,11.5,94627,49455,54339,28227,6.9,29.8,18.2,21.0,9.9,21.1,76.7,18.3,4.9,0.1,18.0,23.2,140500,1143,806,116162,71.7,22.1,0.2,0.7,0.2,2.9
0500000US01017,"Chambers County, Alabama",24706,5.8,10.8,39.5,20.3,10.9,9.2,28036,15072,48805,27006,3.6,26.7,17.7,17.3,9.7,28.5,80.0,13.6,5.9,0.6,17.9,30.4,116900,1117,842,34612,56.7,40.8,0.1,0.2,0.0,1.0
0500000US01019,"Cherokee County, Alabama",18523,6.6,11.5,36.1,19.3,12.0,8.3,20956,10288,46621,28422,4.0,34.6,16.4,16.8,12.0,20.2,76.6,18.4,4.4,0.6,14.3,17.9,158700,1237,700,25069,91.3,4.0,0.5,0.1,0.0,1.4
0500000US01021,"Chilton County, Alabama",30609,5.9,11.9,41.6,19.1,7.5,8.2,35294,18865,62471,28497,5.3,22.8,14.9,19.6,20.9,21.8,82.1,11.6,6.1,0.2,14.5,16.4,136000,1211,814,45140,81.3,9.4,1.4,0.5,0.3,5.1
0500000US01023,"Choctaw County, Alabama",9052,6.4,11.2,38.2,21.5,9.7,9.6,10532,4532,43299,26343,5.2,21.5,16.1,26.1,15.8,20.4,82.1,14.2,3.7,0.0,19.1,30.8,101600,1077,616,12669,56.7,40.0,0.2,0.1,0.0,0.7
0500000US01025,"Clarke County, Alabama",16015,4.9,13.7,41.0,19.6,7.0,8.4,18614,7841,47549,29310,12.5,27.3,15.2,24.3,11.4,21.8,78.9,14.3,6.7,0.1,22.4,30.7,126200,1306,723,23058,51.4,45.5,0.1,0.4,0.0,1.1
0500000US01027,"Clay County, Alabama",10053,5.0,11.6,37.4,21.3,11.8,9.2,11636,5165,48074,27991,5.7,33.5,10.8,15.4,11.6,28.8,77.7,13.9,7.8,0.6,17.6,23.5,144100,1122,576,14209,81.5,12.6,0.0,0.3,0.0,2.7
0500000US01029,"Cleburne County, Alabama",10630,5.2,12.3,39.0,19.5,7.6,11.0,12103,5692,51553,28598,2.6,28.7,15.0,17.7,16.6,22.1,80.9,14.1,4.8,0.2,12.9,19.2,131900,1340,782,15144,92.6,2.7,0.2,0.1,0.0,2.5
0500000US01031,"Coffee County, Alabama",36556,4.5,8.9,28.9,23.0,13.1,13.1,42478,21804,62199,31227,4.8,31.2,18.8,18.7,14.0,17.3,67.5,24.5,8.0,0.1,16.3,24.9,162200,1324,921,53559,72.5,16.8,0.7,1.1,0.0,3.8
