GEO_ID,NAME,DP02_0059PE,DP02_0060PE,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP03_0001E,DP03_0004E,DP03_0062E,DP03_0088E,DP03_0009PE,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0047PE,DP03_0048PE,DP03_0049PE,DP03_0050PE,DP03_0128PE,DP03_0129PE,DP04_0089E,DP04_0101E,DP04_0134E,DP05_0001E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0052PE,DP05_0071PE
Geography,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Estimate!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent!!RACE!!Total population!!One race!!Asian,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0500000US18163,"Vanderburgh County, Indiana",124548,2.3,7.4,31.5,21.0,10.9,17.4,146526,88141,51179,29731,5.0,34.3,19.3,21.3,7.5,17.7,87.1,9.1,3.7,0.1,16.1,23.6,136100,1104,815,181548,84.7,9.5,0.1,1.3,0.2,2.8
0500000US18165,"Vermillion County, Indiana",10915,2.0,6.3,42.5,21.6,11.9,10.8,12500,6754,54361,26955,8.0,27.6,18.0,17.1,11.7,25.6,80.4,14.9,4.8,0.0,14.5,21.4,83900,878,681,15485,97.0,0.7,0.2,0.3,0.1,1.3
0500000US18167,"Vigo County, Indiana",69375,2.4,7.9,32.5,23.4,8.8,14.6,88041,48945,47261,26380,5.9,33.6,20.8,20.8,6.0,18.7,82.2,14.5,3.0,0.2,18.9,24.9,105200,977,761,107305,86.6,7.2,0.2,2.0,0.1,2.8
0500000US18169,"Wabash County, Indiana",21456,2.7,7.6,42.9,19.4,8.5,11.8,25437,14463,56573,27170,4.3,26.6,19.0,19.5,11.0,23.9,85.3,8.3,6.1,0.3,11.5,16.6,109600,929,710,31198,95.2,1.1,0.9,0.5,0.0,2.7
0500000US18171,"Warren County, Indiana",5909,1.7,5.2,41.1,21.0,12.7,13.3,6568,4062,65614,34291,3.2,30.9,10.7,19.2,15.2,23.9,80.8,10.9,7.8,0.5,10.8,18.7,120300,1000,794,8219,97.3,0.6,0.0,0.2,0.0,2.0
0500000US18173,"Warrick County, Indiana",43205,1.5,4.4,28.5,20.6,12.1,21.0,49696,31459,79079,40276,3.5,42.9,14.1,19.4,9.6,14.0,84.5,11.3,4.0,0.3,6.0,6.3,173900,1258,895,62608,92.5,1.8,0.1,2.8,0.0,1.9
0500000US18175,"Washington County, Indiana",19451,4.7,10.1,42.6,20.4,9.8,9.1,22299,12627,50459,25047,4.2,26.8,13.1,15.9,14.3,29.9,84.2,9.7,6.1,0.0,13.9,17.4,120100,1005,658,27942,97.7,0.1,0.0,0.3,0.0,1.3
0500000US18177,"Wayne County, Indiana",45434,4.3,7.9,36.4,21.9,9.6,12.0,53143,30613,47756,26605,4.5,31.5,17.5,20.2,8.7,22.0,84.2,9.9,5.6,0.3,16.8,25.2,102400,948,704,66176,89.3,5.1,0.4,1.3,0.0,3.1
0500000US18179,"Wells County, Indiana",19022,1.7,6.0,40.3,20.6,12.6,13.5,21908,14196,57565,28828,2.6,33.1,13.4,21.2,10.7,21.7,87.2,8.8,3.9,0.0,8.2,9.9,132500,1005,688,28010,95.0,0.8,0.2,0.4,0.0,3.1
0500000US18181,"White County, Indiana",16718,3.5,7.2,40.3,22.5,9.8,11.4,19175,11024,53865,27948,4.5,28.3,15.7,17.7,10.5,27.8,79.8,13.3,6.7,0.2,9.3,13.2,119200,1015,714,24163,90.7,0.7,0.6,0.3,0.0,8.6
0500000US18183,"Whitley County, Indiana",23594,2.6,5.9,36.5,20.7,11.9,16.2,27056,17068,64992,32020,4.4,30.2,13.7,20.6,11.9,23.6,86.2,8.7,4.7,0.4,9.6,16.8,151900,1062,767,33899,96.3,0.4,0.2,0.4,0.0,2.1
0500000US19001,"Adair County, Iowa",5101,1.8,3.2,40.7,20.0,14.8,14.7,5697,3416,55700,30662,5.9,34.0,13.1,18.6,16.5,17.7,72.7,15.6,10.4,1.3,11.1,14.1,111100,1095,575,7048,96.8,0.5,0.0,0.8,0.0,2.2
0500000US19003,"Adams County, Iowa",2650,3.0,3.7,38.8,21.6,15.7,13.5,2956,1701,52287,29079,3.6,37.2,17.1,16.1,6.5,23.2,69.0,16.0,14.7,0.3,13.4,14.7,81400,1107,679,3633,96.8,0.1,0.2,0.6,0.0,1.5
0500000US19005,"Allamakee County, Iowa",9642,6.3,5.3,38.4,17.8,14.0,13.3,10902,6804,55523,28546,2.8,29.5,13.2,21.7,19.9,15.7,75.4,12.6,11.7,0.2,11.4,15.2,133400,1198,629,13761,95.4,1.2,1.1,0.5,0.0,6.9
0500000US19007,"Appanoose County, Iowa",8852,3.6,5.9,35.0,25.1,12.0,14.2,10011,4908,39693,25455,6.6,28.9,14.5,24.6,9.4,22.6,76.1,12.7,10.4,0.8,19.7,30.2,85000,964,661,12462,96.7,0.6,0.4,0.3,0.0,2.1
0500000US19009,"Audubon County, Iowa",4012,2.9,7.1,35.2,23.9,12.1,13.8,4493,2858,49245,29132,1.3,33.2,11.7,19.9,18.4,16.8,72.0,16.1,11.6,0.3,11.3,23.9,84300,877,606,5528,96.7,0.0,0.0,0.0,0.0,0.8
0500000US19011,"Benton County, Iowa",17768,1.5,3.7,38.3,21.3,14.7,14.2,20303,13472,66046,32221,2.3,30.3,14.1,22.0,15.2,18.3,80.7,12.3,6.8,0.3,8.8,8.6,158700,1311,695,25558,96.5,0.4,0.2,0.4,0.0,1.5
0500000US19013,"Black Hawk County, Iowa",83770,2.9,5.3,29.9,21.2,11.5,19.4,106241,68084,54774,31347,5.3,33.0,18.6,21.1,7.4,19.8,82.5,12.8,4.6,0.1,15.5,18.3,150200,1194,818,131813,83.1,9.6,0.4,2.7,0.3,4.5
0500000US19015,"Boone County, Iowa",18654,1.4,4.4,32.5,21.6,14.6,18.0,21534,14169,67442,34016,2.2,33.5,16.5,21.2,11.1,17.7,76.2,17.7,5.8,0.3,7.2,7.3,141000,1231,747,26381,95.7,1.1,0.5,0.3,0.3,2.7
0500000US19017,"Bremer County, Iowa",16512,1.2,2.5,31.1,17.8,14.5,22.5,20141,13056,72209,33510,3.1,38.1,16.3,19.0,9.4,17.2,77.4,13.9,8.6,0.1,7.1,8.6,169000,1303,677,25032,95.6,1.1,0.3,1.1,0.1,1.6
0500000US19019,"Buchanan County, Iowa",14039,3.3,2.7,36.3,21.7,13.8,15.7,16147,10682,67252,33287,2.9,34.4,15.8,18.0,11.6,20.2,78.7,12.7,8.5,0.1,7.4,9.5,143200,1270,691,21141,97.1,0.1,0.2,0.3,0.0,1.6
